Titre	Artiste	Quebec		Année	Style
Johnny B. Goode	Chuck Berry			1959	Classic Rock
I Want You Back	The Jackson 5			1969	Pop-Rock
Slow Ride	Foghat			1975	Classic Rock
Play That Funky Music	Wild Cherry			1976	R&B/Soul/Funk
Super Beat Sports Big Baos Battle	Steve Pardo			2017	Novelty
Blister in the Sun	Violent Femmes			1983	Punk
The Sign	Ace of Base			1993	Pop/Dance/Electronic
Karma Police	Radiohead			1997	Alternative
Hair Trigger	The Acro-Brats			2010	Punk
Collide	Anarchy Club			2007	Metal
Blood Red Rock	Bang Camaro			2008	Rock
Shadowbang (Head)	Bang on a Can All-Stars			2003	Other
Thug Love	Dance for the Dying			2011	Pop-Rock
Doppelgänger	Freezepop			2010	Pop/Dance/Electronic
Cheat on the Church	Graveyard BBQ			2005	Metal
Soy Bomb	Honest Bob and the Factory-to-Dealer Incentives			2008	Indie Rock
How We'd Look On Paper	The Main Drag			2007	Indie Rock
Exploited & Exposed	Symbion Project			2010	Pop/Dance/Electronic
Save a Horse (Ride a Cowboy)	Big & Rich			2004	Country
Twilight of the Thunder God	Amon Amarth			2008	Metal
Run	Foo Fighters			2017	Alternative
Song #3	Stone Sour			2017	Metal
The Way You Used to Do	Queens of the Stone Age			2017	Alternative
Attention	Charlie Puth			2018	Pop-Rock
Sorry Not Sorry	Demi Lovato			2017	Pop/Dance/Electronic
Thunder	Imagine Dragons			2017	Alternative
Feel It Still	Portugal. The Man			2017	Alternative
18 and Life	Skid Row			1989	Glam
Come On Eileen	Dexys Midnight Runners			1982	New Wave
Hooked on a Feeling	Blue Swede			1974	Classic Rock
The Final Countdown	Europe			1986	Glam
Enjoy the Silence	Depeche Mode			1990	Pop/Dance/Electronic
Torn	Natalie Imbruglia			1997	Pop-Rock
I Remember You	Skid Row			1989	Glam
Burnin' It Down	Jason Aldean			2014	Country
Body Like a Back Road	Sam Hunt			2017	Country
That Don't Impress Me Much	Shania Twain			1997	Country
Lonely Is the Night	Billy Squier			1981	Classic Rock
Takin' Care of Business	Bachman–Turner Overdrive			1974	Classic Rock
A Sky Full of Stars	Coldplay			2014	Alternative
Live in the Moment	Portugal. The Man			2017	Alternative
Absolutely (Story of a Girl)	Nine Days			2000	Alternative
Brick House	Commodores			1977	R&B/Soul/Funk
Slide	Goo Goo Dolls			1998	Alternative
Unwell	Matchbox Twenty			2002	Alternative
I Don't Want to Be	Gavin DeGraw			2003	Pop-Rock
Broken	Seether ft. Amy Lee			2004	Rock
Believer	Imagine Dragons			2017	Alternative
Two Princes	Spin Doctors			1993	Alternative
All You Wanted	Michelle Branch			2001	Alternative
Unwritten	Natasha Bedingfield			2004	Pop-Rock
Bad Company	Bad Company			1974	Classic Rock
Roll to Me	Del Amitri			1995	Alternative
Is She Really Going Out with Him?	Joe Jackson			1978	Classic Rock
Cumbersome	Seven Mary Three			1995	Alternative
Stolen Dance	Milky Chance			2013	Alternative
I Want You	Savage Garden			1997	Pop-Rock
Run-Around	Blues Traveler			1994	Rock
Steal My Sunshine	Len			1999	Alternative
Torn in Two	Breaking Benjamin			2018	Rock
The Heart from Your Hate	Trivium			2017	Metal
Karma Chameleon	Culture Club			1983	New Wave
Pictures of Matchstick Men	Status Quo			1968	Classic Rock
We Are Family	Sister Sledge			1979	R&B/Soul/Funk
Right Here, Right Now	Jesus Jones			1991	Alternative
Shame	Jocelyn & Chris Arndt			2016	Rock
Bodies	Drowning Pool			2001	Rock
Higher	Creed			1999	Rock
Going Under	Evanescence			2003	Nu-Metal
If It Means a Lot to You	A Day to Remember			2009	Rock
A Prophecy	Asking Alexandria			2009	Metal
Country Song	Seether			2011	Rock
Airbrushed	Anamanaguchi			2010	Pop/Dance/Electronic
Code Monkey	Jonathan Coulton			2006	Pop-Rock
Hey Baby, Here's That Song You Wanted	Blessthefall			2009	Rock
Relentless Chaos	Miss May I			2010	Metal
Drunken Lullabies (Live)	Flogging Molly			2010	Alternative
Bullet with a Name	Nonpoint			2005	Rock
Reminiscing	Little River Band			1978	Classic Rock
Brandy (You're a Fine Girl)	Looking Glass			1972	Classic Rock
Baby Come Back	Player			1977	Classic Rock
Burn It Down	Five Finger Death Punch			2009	Metal
Hard to See	Five Finger Death Punch			2009	Metal
All I Want	A Day to Remember			2010	Punk
I'm Made of Wax, Larry, What Are You Made Of?	A Day to Remember			2009	Punk
Fake It	Seether			2007	Rock
Rise Above This	Seether			2007	Rock
Rescue Me	30 Seconds to Mars			2018	Rock
Kamikaze	Walk the Moon			2017	Pop-Rock
Give Yourself a Try	The 1975			2018	Alternative
Youngblood	5 Seconds of Summer			2018	Pop-Rock
This Will Be the Day	Jeff Williams ft. Casey Lee Williams			2013	Rock
The Touch	Stan Bush			2007	Rock
Pac-Man Fever	Buckner & Garcia			1999	Novelty
Tastes Like Kevin Bacon	iwrestledabearonce			2009	Metal
BEER!!	Psychostick			2003	Metal
Broken	lovelytheband			2017	Alternative
Sober Up	AJR ft. Rivers Cuomo			2017	Pop-Rock
River of Tuoni	Amberian Dawn			2006	Metal
Knifeman	The Bronx			2008	Punk
American Dream	Silverstein			2009	Rock
Escape (The Piña Colada Song)	Rupert Holmes			1979	Pop-Rock
Red Red Wine	UB40			1983	Reggae/Ska
Pictures of Girls	Wallows			2018	Alternative
Simplify	Young the Giant			2018	Alternative
Dogs Can Grow Beards All Over	The Devil Wears Prada			2006	Metal
HTML Rulez D00d	The Devil Wears Prada			2007	Metal
Jamie All Over	Mayday Parade			2009	Rock
When I Get Home You're So Dead	Mayday Parade			2009	Rock
Unheavenly Creatures	Coheed and Cambria			2018	Prog
When the Curtain Falls	Greta Van Fleet			2018	Rock
Business Time	Flight of the Conchords			2008	Novelty
The Most Beautiful Girl (In the Room)	Flight of the Conchords			2008	Novelty
Graffiti	Chvrches			2018	Alternative
Uncomfortable	Halestorm			2018	Rock
Back to Me	Of Mice & Men			2018	Metal
Second & Sebring	Of Mice & Men			2010	Metal
Those in Glass Houses	Of Mice & Men			2010	Metal
Three Lives	Octavision			2016	Prog
My Demons	Starset			2014	Rock
Paralyzer	Finger Eleven			2007	Alternative
Australia	The Shins			2007	Indie Rock
Little Black Backpack '09	Stroke 9			2010	Rock
Time to Say Goodbye	Jeff Williams ft. Casey Lee Williams			2014	Rock
Is There a Ghost	Band of Horses			2007	Indie Rock
No One's Gonna Love You	Band of Horses			2007	Indie Rock
The Funeral	Band of Horses			2006	Indie Rock
Natural	Imagine Dragons			2018	Alternative
Girls Like You	Maroon 5			2017	Pop-Rock
Crazy on You	Heart			1976	Classic Rock
Magic Man	Heart			1976	Classic Rock
Lose It	Kane Brown			2018	Country
Hotel Key	Old Dominion			2017	Country
Never Let You Go '09	Third Eye Blind			2009	Alternative
Semi Charmed Life '09	Third Eye Blind			2009	Alternative
99	Barns Courtney			2018	Alternative
Music Is Worth Living For	Andrew W.K.			2018	Rock
Angel of Death	Slayer			1986	Metal
Starlight	BABYMETAL			2018	Metal
When Legends Rise	Godsmack			2018	Nu-Metal
Forever in Your Hands	All That Remains			2008	Metal
Hey There Mr. Brooks	Asking Alexandria			2009	Metal
Remedy	Seether			2005	Metal
Shame	Elle King			2018	Alternative
Body Talks	The Struts			2018	Rock
Gasoline	The Bouncing Souls			2010	Alternative
The Triumph	Jeff Williams ft. Casey Lee Williams			2018	Rock
Lady in a Blue Dress	Senses Fail			2004	Alternative
Push	Matchbox Twenty			1996	Alternative
The Reason	Hoobastank			2004	Alternative
Wagon Wheel	Darius Rucker			2013	Country
Bitch	Meredith Brooks			1997	Alternative
Farewell, Mona Lisa	The Dillinger Escape Plan			2010	Metal
Bleed	Meshuggah			2008	Metal
[&] Delinquents	Woe, Is Me			2010	Rock
Drown	Bring Me the Horizon			2015	Nu-Metal
MANTRA	Bring Me the Horizon			2019	Nu-Metal
Pray for Plagues	Bring Me the Horizon			2006	Nu-Metal
Paradise	Coldplay			2011	Alternative
Uma Thurman	Fall Out Boy			2014	Pop-Rock
Superposition	Young the Giant			2018	Alternative
When the Seasons Change	Five Finger Death Punch			2018	Metal
Lemon Meringue Tie	Dance Gavin Dance			2007	Indie Rock
Caraphernelia	Pierce the Veil			2010	Emo
Battle Royale	The Word Alive			2009	Metal
S.O.S.	The Glorious Sons			2017	Rock
Do Your Worst	Rival Sons			2019	Rock
If You Can't Hang	Sleeping With Sirens			2011	Emo
The Attitude Song	Steve Vai			1984	Rock
Seven	Sunny Day Real Estate			1994	Alternative
I'm Gonna Be (500 Miles)	The Proclaimers			1988	Rock
La Bamba	Los Lobos			1987	Pop-Rock
Do Not Disturb	Halestorm			2018	Rock
Flag in the Ground	Sonata Arctica			2009	Metal
Disengage	Suicide Silence			2009	Metal
Hold On	All That Remains			2010	Metal
The Gun Show	In This Moment			2010	Metal
Harmony Hall	Vampire Weekend			2019	Indie Rock
It's Complicated	A Day to Remember			2010	Punk
Longshot	Catfish and the Bottlemen			2019	Indie Rock
Nemesis	Arch Enemy			2005	Metal
Over My Head	Judah & the Lion			2019	Alternative
Night on Bald Mountain (Mussorgsky)	Paul Henry Smith & The Fauxharmonic Orchestra			2010	Classical
The Serpentine Offering	Dimmu Borgir			2007	Metal
Salvation	The Strumbellas			2019	Alternative
You Only Live Once	Suicide Silence			2011	Metal
Tourniquet	Breaking Benjamin			2018	Alternative
The Waiting One	All That Remains			2010	Metal
When Am I Gonna Lose You	Local Natives			2019	Alternative
Wake Up	Suicide Silence			2009	Metal
The Difference Between Medicine and Poison is in the Dose	Circa Survive			2007	Alternative
If I'm James Dean, You're Audrey Hepburn	Sleeping With Sirens			2010	Emo
Berzerker	After the Burial			2009	Metal
We Are Not Anonymous	Unearth			2008	Metal
Shallow Waters	Amberian Dawn			2009	Metal
Lexington (Joey Pea-Pot With a Monkey Face)	Chiodos			2007	Emo
Sucker	Jonas Brothers			2019	Pop-Rock
High Hopes	Panic! at the Disco			2018	Emo
Days Without	All That Remains			2008	Metal
Change	The Revivalists			2018	Alternative
Kick Some Ass '09	Stroke 9			2010	Rock
100 Bad Days	AJR			2019	Pop-Rock
Caves	Chiodos			2010	Emo
Requiem for a Dying Song	Flogging Molly			2008	Punk
For We Are Many	All That Remains			2010	Metal
Obfuscation	Between the Buried and Me			2009	Prog
Alligator	Of Monsters and Men			2019	Indie Rock
The Plot to Bomb the Panhandle	A Day to Remember			2007	Punk
The Final Episode (Let's Change the Channel)	Asking Alexandria			2009	Metal
Blame It on My Youth	Blink-182			2019	Punk
Undone	All That Remains			2008	Metal
Very Busy People	The Limousines			2010	Alternative
Gloria	The Lumineers			2019	Indie Rock
Have Faith in Me	A Day to Remember			2009	Punk
Hurt	Oliver Tree			2019	Alternative
Jumpers	Sleater-Kinney			2005	Indie Rock
Battles and Brotherhood	3 Inches of Blood			2009	Metal
Missed Connection	The Head and the Heart			2019	Alternative
The Hounds of Anubis	The Word Alive			2010	Metal
Robots May Break Your Heart	Riverboat Gamblers			2008	Punk
Entertain	Sleater-Kinney			2005	Indie Rock
Old Town Road (Remix)	Lil Nas X ft. Billy Ray Cyrus			2019	Country
21	H.E.R.			2019	R&B/Soul/Funk
Buster Voodoo	Rodrigo y Gabriela			2009	Rock
sugar honey ice & tea	Bring Me the Horizon			2019	Nu-Metal
When I'm Gone	Dirty Honey			2019	Rock
Highway to Oblivion	DragonForce			2019	Metal
For the Love of God (Live)	Steve Vai			2009	Rock
The Mob Goes Wild	Clutch			2004	Rock
This City Made Us	The Protomen			2015	Rock
Two Shots	Duck & Cover			2019	Punk
Don't Let Her Go	Newfane			2019	Alternative
Time for Crime	ORION			2019	Pop/Dance/Electronic
Fall Apart	Shocked Laura			2019	Pop/Dance/Electronic
Blue on Black	Five Finger Death Punch			2018	Metal
Trouble	Five Finger Death Punch			2017	Metal
You're Gonna Say Yeah!	Hushpuppies			2005	Rock
Might Be Right	White Reaper			2019	Alternative
Feed My Frankenstein	Alice Cooper			1991	Rock
Unsainted	Slipknot			2019	Nu-Metal
CHAMPION	Bishop Briggs			2019	Alternative
Good Things Fall Apart	Illenium & Jon Bellion			2019	Pop/Dance/Electronic
Sequestered in Memphis	The Hold Steady			2008	Indie Rock
You're A Wolf	Sea Wolf			2007	Indie Rock
Dear Insanity	Asking Alexandria			2011	Metal
Morte et Dabo	Asking Alexandria			2011	Metal
Back Foot	Dinosaur Pile-Up			2019	Rock
Welcome Home	Hellyeah			2019	Rock
Taste of Regret	Of Mice & Men			2019	Metal
Prom Queen	Beach Bunny			2018	Alternative
Panic Attack	The Glorious Sons			2019	Rock
16	Highly Suspect			2019	Alternative
Crush	Dave Matthews Band			1998	Rock
Blind Leading the Blind	Mumford & Sons			2019	Rock
One Kind of Solomon	The New Pornographers			2019	Alternative
bad guy	Billie Eilish			2019	Pop/Dance/Electronic
Orphans	Coldplay			2019	Alternative
Take What You Want	Post Malone ft. Ozzy Osbourne & Travis Scott			2019	Pop-Rock
Father of All...	Green Day			2020	Alternative
The End of the Game	Weezer			2020	Alternative
Young Bloods	The Bronx			2008	Punk
I Just Wanna Shine	Fitz and the Tantrums			2019	Pop-Rock
All the Way (Stay)	Jimmy Eat World			2019	Alternative
Chelsea	The Summer Set			2009	Pop-Rock
Circles	Post Malone			2019	Pop-Rock
Can You Tell	Ra Ra Riot			2008	Indie Rock
Addicted	Simple Plan			2002	Alternative
Welcome to My Life	Simple Plan			2004	Alternative
Where I Belong	Simple Plan & State Champs feat. We the Kings			2019	Alternative
No More Mr. Nice Guy	Alice Cooper			1973	Rock
Mechanical Love	In This Moment			2008	Metal
50,000 Unstoppable Watts	Clutch			2009	Rock
Hanuman	Rodrigo y Gabriela			2009	Rock
Inside Out	Five Finger Death Punch			2020	Metal
Novocaine	The Unlikely Candidates			2019	Alternative
Sticks & Bricks	A Day to Remember			2010	Punk
5678	Fake Problems			2010	Alternative
Mordecai	Between the Buried and Me			2003	Prog
Icarus Lives	Periphery			2010	Metal
The Best	AWOLNATION			2019	Alternative
Colors	Black Pumas			2019	Alternative
Some Kind of Disaster	All Time Low			2020	Emo
Better Off This Way	A Day to Remember			2010	Punk
Abigail	Motionless in White			2010	Metal
Approach the Podium	Winds of Plague			2009	Metal
Don't Start Now	Dua Lipa			2019	Pop/Dance/Electronic
Simmer	Hayley Williams			2020	Alternative
Boy	Ra Ra Riot			2010	Indie Rock
One Man Band	Old Dominion			2019	Country
Juice	Lizzo			2019	Pop/Dance/Electronic
Bad Decisions	The Strokes			2020	Rock
Alive and Kicking	Nonpoint			2005	Rock
Born to Be Wild	Steppenwolf			1968	Classic Rock
Rolling 7s	Dirty Honey			2019	Rock
Special Effects	Freezepop			2010	Pop/Dance/Electronic
Reckless & Relentless	Asking Alexandria			2011	Metal
Arcaedion	Children of Nova			2009	Prog
Glycerine	Bush			1994	Grunge
With Arms Wide Open	Creed			1999	Rock
Be Careful What You Wish For	Memphis May Fire			2010	Metal
Hook, Line and Sinner	Texas in July			2009	Metal
Far Away	Breaking Benjamin ft. Scooter Ward of COLD			2020	Rock
Level of Concern	Twenty One Pilots			2020	Alternative
Where Were You?	Every Avenue			2008	Alternative
Falling	Trevor Daniel			2020	Pop/Dance/Electronic
I Think We're Alone Now	Billie Joe Armstrong			2020	Alternative
Van Horn	Saint Motel			2019	Indie Rock
Dark Horse	Converge			2009	Metal
Popular Monster	Falling In Reverse			2019	Rock
10,000 Hours	Dan + Shay & Justin Bieber			2019	Country
Used To Like	Neon Trees			2019	Alternative
Bang!	AJR			2020	Pop-Rock
Incubus	Amberian Dawn			2009	Metal
Adore You	Harry Styles			2019	Pop/Dance/Electronic
Wars	Of Monsters and Men			2019	Indie Rock
Learn to Live	Architects			2011	Metal
Killing Me Slowly	Bad Wolves			2019	Rock
Ikea	Jonathan Coulton			2003	Rock
This is Not a Song, It's a Sandwich!	Psychostick			2009	Metal
Shiver	Coldplay			2000	Alternative
Speed of Sound	Coldplay			2005	Alternative
Champion of the World	Coldplay			2019	Alternative
Something Just Like This	The Chainsmokers & Coldplay			2017	Pop/Dance/Electronic
Buttersnips	Periphery			2010	Metal
Burning Hearts	Silverstein			2011	Rock
Cradles	Sub Urban			2019	Pop/Dance/Electronic
Blinding Lights	The Weeknd			2019	Pop/Dance/Electronic
We Are the One	Anti-Flag			2009	Punk
History of Violence	Theory of a Deadman			2019	Rock
Antisocialist	Asking Alexandria			2020	Metal
Deathbed Atheist	Norma Jean			2010	Metal
Monsters	All Time Low ft. Blackbear			2020	Emo
Flightless Bird, American Mouth	Iron & Wine			2007	Indie Rock
I Know What I Am	Band of Skulls			2009	Indie Rock
I Hope	Gabby Barrett			2020	Country
Angels & Demons	Jxdn			2020	Alternative
Stand for Something	Skindred			2009	Metal
Some1Else	Blame It On Whitman			2020	Punk
Run With You	Radio Compass			2020	Indie Rock
Masquerader	Ravi Shavi			2020	Indie Rock
Stevie Sees	Toad and the Stooligans			2020	Hip-Hop/Rap
Any Other Heart	Go Radio			2011	Pop-Rock
Teenage Dirtbag (2020)	Wheatus			2020	Pop-Rock
Fate of the Maiden	Amberian Dawn			2008	Metal
Selkies: The Endless Obsession	Between the Buried and Me			2005	Metal
A Little Bit Off	Five Finger Death Punch			2020	Metal
The Devil Went Down to Georgia	Nickelback			2020	Rock
CITY OF ANGELS	24kGoldn			2019	Hip-Hop/Rap
Spin	We the Kings			2009	Alternative
White Knuckles	OK Go			2010	Alternative
Caution	The Killers			2020	Alternative
Alive With The Glory Of Love	Say Anything			2004	Emo
Cute Without The 'E' (Cut From the Team)	Taking Back Sunday			2002	Emo
Shot in the Dark	AC/DC			2020	Rock
Death by Rock and Roll	The Pretty Reckless			2020	Rock
Come & Go	Juice WRLD & Marshmello			2020	Hip-Hop/Rap
Rollin' (Air Raid Vehicle)	Limp Bizkit			2000	Nu-Metal
Rebel Rebel	David Bowie			1974	Rock
My Way, Soon	Greta Van Fleet			2020	Rock
Stacy's Mom	Fountains of Wayne			2003	Pop-Rock
Prisoner	Dance Gavin Dance			2020	Indie Rock
Come and Get Your Love	Redbone			1974	R&B/Soul/Funk
Golden	Harry Styles			2019	Pop-Rock
Higher	Shawn Mendes			2020	Pop/Dance/Electronic
stupid horse	100 gecs				
Hey, Hey, Helen	ABBA				
Barbie Girl	Aqua				
Megitsune	BABYMETAL				
Loser	Beck				
Hound Dog	Big Mama Thornton				
you should see me in a crown	Billie Eilish				
Red Flag	Billy Talent				
Ludens	Bring Me the Horizon				
Born to Run	Bruce Springsteen				
There's No Penguins In Alaska	Chiodos				
Long As I Can See The Light	Creedence Clearwater Revival				
Open Your Heart	Crush 40				
Lose Yourself To Dance (ft. Pharrell Williams)	Daft Punk				
Dream House	Deafheaven				
Suburban Home	Descendents				
Hatredcopter	Dethklok				
9 to 5	Dolly Parton				
Hot Stuff	Donna Summer				
Rocket Man	Elton John				
Rock Me Amadeus	Falco				
White Winter Hymnal	Fleet Foxes				
The Chain	Fleetwood Mac				
Never Catch Me (ft. Kendrick Lamar)	Flying Lotus				
Remember the Name (ft. Styles of Beyond)	Fort Minor				
Worlds Away	From First to Last				
Destiny	Galneryus				
I Will Survive	Gloria Gaynor				
Bulletproof	Godsmack				
Dance Floor Anthem	Good Charlotte				
King For A Day	Green Day				
Hollaback Girl	Gwen Stefani				
Love Bites (So Do I)	Halestorm				
Obstacle 1	Interpol				
New Sensation	INXS				
I Feel Fantastic	Jonathan Coulton				
Automation	King Gizzard & the Lizard Wizard				
Alejandro	Lady Gaga				
Break Stuff	Limp Bizkit				
Faint	Linkin Park				
Our House	Madness				
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell				
Monsters	Matchbook Romance				
Ardour (Feat. Pauline Murray)	Maxïmo Park				
Bat Out of Hell	Meat Loaf				
Master of Puppets	Metallica				
Shake It	Metro Station				
Conga!	Miami Sound Machine				
Maniac	Michael Sembello				
Beds Are Burning	Midnight Oil				
Mental Hopscotch	Missing Persons				
Stockholm Syndrome	Muse				
The End:Dead!	My Chemical Romance				
99 Luftballons	Nena				
1,000,000	Nine Inch Nails				
Love Buzz	Nirvana				
One & Only	Oliver Tree				
How Bizarre	OMC				
B.O.B. (RB Remix)	Outkast				
Good Time	Owl City & Carly Rae Jepsen				
Rose;Colored Boy	Paramore				
Scarlet	Periphery				
Fences	Phoenix				
Another Brick Pt 2	Pink Floyd				
Tommy the Cat (ft. Tom Waits)	Primus				
Let's Go Crazy	Prince and the Revolution				
A Kind Of Magic	Queen				
Higher Ground	Red Hot Chili Peppers				
New Noise	Refused				
Paper Wings	Rise Against				
Time Stand Still (ft. Aimee Mann)	Rush				
Scatman (Ski;Ba;Bop;Ba;Dop;Bop)	Scatman John				
Fine Again	Seether				
Whenever, Wherever	Shakira				
Selling Jesus	Skunk Anansie				
People = Shit	Slipknot				
De Música Ligera	Soda Stereo				
Let Me Drown	Soundgarden				
Circle With Me	Spiritbox				
Suspect Device	Stiff Little Fingers				
We Will Fall Together	Streetlight Manifesto				
Institutionalized	Suicidal Tendencies				
Devil Gate Drive	Suzi Quatro				
We Are Never Ever Getting Back Together (Taylor's Version)	Taylor Swift				
My Famed Disappearing Act	Thank You Scientist				
Video Killed the Radio Star	The Buggles				
How to Save a Life	The Fray				
Original Prankster (ft. Redman)	The Offspring				
Fox on the Run (Single Version)	The Sweet				
See Me, Feel Me (Live at Woodstock)	The Who				
Canajoharie	They Might Be Giants				
Steamy Windows	Tina Turner				
Acid Fuzz	Toxic Holocaust				
Hey, Soul Sister	Train				
Jump	Van Halen				
A Thousand Miles	Vanessa Carlton				
Rolling Girl (ft. Hatsune Miku)	wowaka				
Oh Bondage, Up Yours!	X;ray Spex				
Lights and Sounds	Yellowcard				
Silvertounge	Young the Giant				
